id,text,category
1,"I love playing cricket on weekends","sports"
2,"The football match was exciting","sports"
3,"Basketball requires speed and teamwork","sports"
4,"Tennis players need excellent reflexes","sports"
5,"The team celebrated their championship victory","sports"
6,"Swimming is a great full-body workout","sports"
7,"Machine learning helps computers learn from data","technology"
8,"Artificial intelligence is transforming industries","technology"
9,"Python is a popular programming language","technology"
10,"Cloud computing provides scalable resources","technology"
11,"Cybersecurity protects systems from attacks","technology"
12,"Data scientists analyze large datasets","technology"
13,"I ordered a delicious pizza for dinner","food"
14,"Fresh fruits are good for health","food"
15,"The restaurant serves excellent biryani","food"
16,"Homemade soup is nutritious and comforting","food"
17,"Coffee helps many people stay alert","food"
18,"Vegetables are rich in vitamins and minerals","food"
19,"The stock market fluctuates every day","finance"
20,"Investing early can build wealth over time","finance"
21,"Banks provide loans and savings accounts","finance"
22,"Mutual funds help diversify investments","finance"
23,"Financial planning helps achieve long-term goals","finance"
24,"Interest rates affect borrowing costs","finance"
25,"The doctor prescribed medicine for the patient","health"
26,"Regular exercise improves physical fitness","health"
27,"Drinking enough water is important for health","health"
28,"A balanced diet supports overall wellness","health"
29,"Sleep is essential for mental and physical health","health"
30,"Vaccinations help prevent infectious diseases","health"
31,"The flight to Delhi was delayed due to weather","travel"
32,"Hotels near the beach are usually expensive","travel"
33,"Tourists visited historical monuments in the city","travel"
34,"Travel insurance provides protection during trips","travel"
35,"Mountain trekking offers beautiful scenery","travel"
36,"Many travelers prefer window seats on airplanes","travel"
37,"Students are preparing for final examinations","education"
38,"Online courses make learning more accessible","education"
39,"Teachers encourage critical thinking skills","education"
40,"Libraries provide valuable learning resources","education"
41,"Mathematics develops logical reasoning abilities","education"
42,"Group discussions improve communication skills","education"
43,"Electric vehicles are becoming more popular","automobile"
44,"Regular maintenance extends vehicle lifespan","automobile"
45,"Hybrid cars combine electric and fuel power","automobile"
46,"The new sedan offers excellent fuel efficiency","automobile"
47,"Road safety rules help prevent accidents","automobile"
48,"Car insurance protects against financial losses","automobile"
49,"Renewable energy reduces environmental impact","environment"
50,"Solar panels generate electricity from sunlight","environment"
